G 0.14 - Vorsätzlicher Ursprung; beeinflusst Vertraulichkeit
G 0.18 - Versehentlicher Ursprung; beeinflusst Integrität
G 0.19 - Versehentlicher Ursprung; beeinflusst Vertraulichkeit
G 0.20 - Versehentlicher Ursprung; beeinflusst Integrität und Verfügbarkeit
G 0.22 - Vorsätzlicher Ursprung; beeinflusst Integrität
G 0.25 - Versehentlicher Ursprung; beeinflusst Verfügbarkeit
G 0.26 - Versehentlicher Ursprung; beeinflusst Verfügbarkeit
G 0.28 - Versehentlicher Ursprung; beeinflusst Integrität und Verfügbarkeit
G 0.31 - Versehentlicher Ursprung; beeinflusst Verfügbarkeit
G 0.39 - Vorsätzlicher Ursprung; beeinflusst Vertraulichkeit, Integrität und Verfügbarkeit
G 0.46 - Versehentlicher Ursprung; beeinflusst Integrität
