G 0.9 - Ursprung: versehentlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.14 - Ursprung: vorsätzlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.15 - Ursprung: vorsätzlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.16 - Ursprung: vorsätzlich oder versehentlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.17 - Ursprung: versehentlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit und Vertraulichkeit
G 0.18 - Ursprung: versehentlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.19 - Ursprung: versehentlich oder vorsätzlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.20 - Ursprung: versehentlich oder vorsätzlich, beeinflusstes Sicherheitsattribut: Integrität und Verfügbarkeit
G 0.21 - Ursprung: vorsätzlich, beeinflusstes Sicherheitsattribut: Integrität
G 0.23 - Ursprung: vorsätzlich oder versehentlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit und Verfügbarkeit
G 0.25 - Ursprung: versehentlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.26 - Ursprung: versehentlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.28 - Ursprung: versehentlich, beeinflusstes Sicherheitsattribut: Integrität
G 0.31 - Ursprung: versehentlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.32 - Ursprung: versehentlich oder vorsätzlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit und Integrität
G 0.36 - Ursprung: vorsätzlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.38 - Ursprung: vorsätzlich oder versehentlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.39 - Ursprung: vorsätzlich, beeinflusstes Sicherheitsattribut: Integrität und Verfügbarkeit
G 0.42 - Ursprung: vorsätzlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
