G 0.1 - Ursprung: versehentlich; beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.2 - Ursprung: versehentlich; beeinflusstes Sicherheitsattribut: Integrität, Verfügbarkeit
G 0.3 - Ursprung: versehentlich; beeinflusstes Sicherheitsattribut: Integrität, Verfügbarkeit
G 0.7 - Ursprung: versehentlich oder vorsätzlich; beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.8 - Ursprung: versehentlich oder vorsätzlich; beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.9 - Ursprung: versehentlich oder vorsätzlich; beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.10 - Ursprung: versehentlich oder vorsätzlich; beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.18 - Ursprung: versehentlich; beeinflusstes Sicherheitsattribut: Vertraulichkeit, Integrität, Verfügbarkeit
G 0.19 - Ursprung: versehentlich oder vorsätzlich; beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.24 - Ursprung: versehentlich; beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.25 - Ursprung: versehentlich; beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.26 - Ursprung: versehentlich; beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.27 - Ursprung: versehentlich; beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.29 - Ursprung: versehentlich oder vorsätzlich; beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.30 - Ursprung: versehentlich oder vorsätzlich; beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.34 - Ursprung: vorsätzlich; beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.37 - Ursprung: vorsätzlich; beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.44 - Ursprung: vorsätzlich; beeinflusstes Sicherheitsattribut: Vertraulichkeit, Integrität, Verfügbarkeit
