G 0.14 - Ursprung: vorsätzlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.16 - Ursprung: vorsätzlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.18 - Ursprung: versehentlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.19 - Ursprung: versehentlich oder vorsätzlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.21 - Ursprung: vorsätzlich, beeinflusstes Sicherheitsattribut: Integrität
G 0.22 - Ursprung: versehentlich oder vorsätzlich, beeinflusstes Sicherheitsattribut: Integrität
G 0.29 - Ursprung: vorsätzlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.30 - Ursprung: versehentlich oder vorsätzlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.31 - Ursprung: versehentlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.37 - Ursprung: versehentlich oder vorsätzlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.44 - Ursprung: vorsätzlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.46 - Ursprung: versehentlich, beeinflusstes Sicherheitsattribut: Integrität
