NET.1.1.A1	Sicherheitsrichtlinie für das Netz 	mitigates	G 0.29
NET.1.1.A2	Dokumentation des Netzes	mitigates	G 0.29
NET.1.1.A3	Anforderungsspezifikation für das Netz	mitigates	G 0.18
NET.1.1.A3	Anforderungsspezifikation für das Netz	mitigates	G 0.29
NET.1.1.A4	Netztrennung in Zonen	mitigates	G 0.19
NET.1.1.A4	Netztrennung in Zonen	mitigates	G 0.22
NET.1.1.A4	Netztrennung in Zonen	mitigates	G 0.30
NET.1.1.A5	Client-Server-Segmentierung	mitigates	G 0.19
NET.1.1.A5	Client-Server-Segmentierung	mitigates	G 0.22
NET.1.1.A5	Client-Server-Segmentierung	mitigates	G 0.30
NET.1.1.A6	Endgeräte-Segmentierung im internen Netz	mitigates	G 0.19
NET.1.1.A6	Endgeräte-Segmentierung im internen Netz	mitigates	G 0.22
NET.1.1.A6	Endgeräte-Segmentierung im internen Netz	mitigates	G 0.30
NET.1.1.A7	Absicherung von schützenswerten Informationen	mitigates	G 0.15
NET.1.1.A7	Absicherung von schützenswerten Informationen	mitigates	G 0.43
NET.1.1.A7	Absicherung von schützenswerten Informationen	mitigates	G 0.46
NET.1.1.A8	Grundlegende Absicherung des Internetzugangs	mitigates	G 0.23
NET.1.1.A8	Grundlegende Absicherung des Internetzugangs	mitigates	G 0.30
NET.1.1.A9	Grundlegende Absicherung der Kommunikation mit nicht vertrauenswürdigen Netzen	mitigates	G 0.23
NET.1.1.A9	Grundlegende Absicherung der Kommunikation mit nicht vertrauenswürdigen Netzen	mitigates	G 0.30
NET.1.1.A9	Grundlegende Absicherung der Kommunikation mit nicht vertrauenswürdigen Netzen	mitigates	G 0.46
NET.1.1.A10	DMZ-Segmentierung für Zugriffe aus dem Internet	mitigates	G 0.19
NET.1.1.A10	DMZ-Segmentierung für Zugriffe aus dem Internet	mitigates	G 0.22
NET.1.1.A10	DMZ-Segmentierung für Zugriffe aus dem Internet	mitigates	G 0.30
NET.1.1.A11	Absicherung eingehender Kommunikation vom Internet in das interne Netz	mitigates	G 0.18
NET.1.1.A11	Absicherung eingehender Kommunikation vom Internet in das interne Netz	mitigates	G 0.19
NET.1.1.A11	Absicherung eingehender Kommunikation vom Internet in das interne Netz	mitigates	G 0.22
NET.1.1.A11	Absicherung eingehender Kommunikation vom Internet in das interne Netz	mitigates	G 0.23
NET.1.1.A11	Absicherung eingehender Kommunikation vom Internet in das interne Netz	mitigates	G 0.29
NET.1.1.A11	Absicherung eingehender Kommunikation vom Internet in das interne Netz	mitigates	G 0.30
NET.1.1.A11	Absicherung eingehender Kommunikation vom Internet in das interne Netz	mitigates	G 0.40
NET.1.1.A11	Absicherung eingehender Kommunikation vom Internet in das interne Netz	mitigates	G 0.43
NET.1.1.A12	Absicherung ausgehender interner Kommunikation zum Internet	mitigates	G 0.19
NET.1.1.A12	Absicherung ausgehender interner Kommunikation zum Internet	mitigates	G 0.23
NET.1.1.A12	Absicherung ausgehender interner Kommunikation zum Internet	mitigates	G 0.30
NET.1.1.A13	Netzplanung	mitigates	G 0.18
NET.1.1.A14	Umsetzung der Netzplanung	mitigates	G 0.9
NET.1.1.A14	Umsetzung der Netzplanung	mitigates	G 0.11
NET.1.1.A14	Umsetzung der Netzplanung	mitigates	G 0.18
NET.1.1.A14	Umsetzung der Netzplanung	mitigates	G 0.19
NET.1.1.A14	Umsetzung der Netzplanung	mitigates	G 0.22
NET.1.1.A14	Umsetzung der Netzplanung	mitigates	G 0.23
NET.1.1.A14	Umsetzung der Netzplanung	mitigates	G 0.27
NET.1.1.A14	Umsetzung der Netzplanung	mitigates	G 0.29
NET.1.1.A14	Umsetzung der Netzplanung	mitigates	G 0.30
NET.1.1.A14	Umsetzung der Netzplanung	mitigates	G 0.40
NET.1.1.A15	Regelmäßiger Soll-Ist-Vergleich	mitigates	G 0.29
NET.1.1.A16	Spezifikation der Netzarchitektur	mitigates	G 0.18
NET.1.1.A16	Spezifikation der Netzarchitektur	mitigates	G 0.29
NET.1.1.A17	Spezifikation des Netzdesigns	mitigates	G 0.29
NET.1.1.A18	P-A-P-Struktur für die Internet-Anbindung	mitigates	G 0.19
NET.1.1.A18	P-A-P-Struktur für die Internet-Anbindung	mitigates	G 0.22
NET.1.1.A18	P-A-P-Struktur für die Internet-Anbindung	mitigates	G 0.30
NET.1.1.A19	Separierung der Infrastrukturdienste	mitigates	G 0.19
NET.1.1.A19	Separierung der Infrastrukturdienste	mitigates	G 0.22
NET.1.1.A19	Separierung der Infrastrukturdienste	mitigates	G 0.30
NET.1.1.A20	Zuweisung dedizierter Subnetze für IPv4/IPv6-Endgerätegruppen	mitigates	G 0.18
NET.1.1.A20	Zuweisung dedizierter Subnetze für IPv4/IPv6-Endgerätegruppen	mitigates	G 0.27
NET.1.1.A21	Separierung des Management-Bereichs	mitigates	G 0.18
NET.1.1.A21	Separierung des Management-Bereichs	mitigates	G 0.22
NET.1.1.A21	Separierung des Management-Bereichs	mitigates	G 0.23
NET.1.1.A21	Separierung des Management-Bereichs	mitigates	G 0.30
NET.1.1.A22	Spezifikation des Segmentierungskonzepts	mitigates	G 0.9
