NET.1.1.A1	Sicherheitsrichtlinie für das Netz 
NET.1.1.A2	Dokumentation des Netzes
NET.1.1.A3	Anforderungsspezifikation für das Netz
NET.1.1.A4	Netztrennung in Zonen
NET.1.1.A5	Client-Server-Segmentierung
NET.1.1.A6	Endgeräte-Segmentierung im internen Netz
NET.1.1.A7	Absicherung von schützenswerten Informationen
NET.1.1.A8	Grundlegende Absicherung des Internetzugangs
NET.1.1.A9	Grundlegende Absicherung der Kommunikation mit nicht vertrauenswürdigen Netzen
NET.1.1.A10	DMZ-Segmentierung für Zugriffe aus dem Internet
NET.1.1.A11	Absicherung eingehender Kommunikation vom Internet in das interne Netz
NET.1.1.A12	Absicherung ausgehender interner Kommunikation zum Internet
NET.1.1.A13	Netzplanung
NET.1.1.A14	Umsetzung der Netzplanung
NET.1.1.A15	Regelmäßiger Soll-Ist-Vergleich
NET.1.1.A16	Spezifikation der Netzarchitektur
NET.1.1.A17	Spezifikation des Netzdesigns
NET.1.1.A18	P-A-P-Struktur für die Internet-Anbindung
NET.1.1.A19	Separierung der Infrastrukturdienste
NET.1.1.A20	Zuweisung dedizierter Subnetze für IPv4/IPv6-Endgerätegruppen
NET.1.1.A21	Separierung des Management-Bereichs
NET.1.1.A22	Spezifikation des Segmentierungskonzepts
NET.1.1.A23	Trennung von Netzsegmenten
NET.1.1.A24	Sichere logische Trennung mittels VLAN
NET.1.1.A25	Fein- und Umsetzungsplanung von Netzarchitektur und -design
NET.1.1.A26	Spezifikation von Betriebsprozessen für das Netz
NET.1.1.A27	Einbindung der Netzarchitektur in die Notfallplanung
NET.1.1.A28	Hochverfügbare Netz- und Sicherheitskomponenten
NET.1.1.A29	Hochverfügbare Realisierung von Netzanbindungen
NET.1.1.A30	Schutz vor Distributed-Denial-of-Service
NET.1.1.A31	 Physische Trennung von Netzsegmenten
NET.1.1.A32	Physische Trennung von Management-Netzsegmenten
NET.1.1.A33	Mikrosegmentierung des Netzes
NET.1.1.A34	Einsatz kryptografischer Verfahren auf Netzebene
NET.1.1.A35	Einsatz von netzbasiertem DLP
NET.1.1.A36	Trennung mittels VLAN bei sehr hohem Schutzbedarf
