G 0.9 - Ursprung: Versehentlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.11 - Ursprung: Versehentlich oder vorsätzlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.15 - Ursprung: Vorsätzlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.18 - Ursprung: Versehentlich, beeinflusstes Sicherheitsattribut: Integrität
G 0.19 - Ursprung: Versehentlich oder vorsätzlich, beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.22 - Ursprung: Vorsätzlich, beeinflusstes Sicherheitsattribut: Integrität
G 0.23 - Ursprung: Vorsätzlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.25 - Ursprung: Versehentlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.27 - Ursprung: Versehentlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.29 - Ursprung: Versehentlich oder vorsätzlich, beeinflusstes Sicherheitsattribut: Integrität
G 0.30 - Ursprung: Vorsätzlich, beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.43 - Ursprung: Vorsätzlich, beeinflusstes Sicherheitsattribut: Integrität
G 0.46 - Ursprung: Versehentlich, beeinflusstes Sicherheitsattribut: Integrität
