G 0.9 - Ursprung: Technische Störung, beeinflusstes Sicherheitsattribut: Verfügbarkeit.
G 0.15 - Ursprung: Spionage, beeinflusstes Sicherheitsattribut: Vertraulichkeit.
G 0.16 - Ursprung: Diebstahl, beeinflusstes Sicherheitsattribut: Vertraulichkeit.
G 0.18 - Ursprung: Fehlplanung oder unzureichende Anpassung, beeinflusstes Sicherheitsattribut: Integrität.
G 0.23 - Ursprung: Unbefugter Zugriff, beeinflusstes Sicherheitsattribut: Vertraulichkeit.
G 0.24 - Ursprung: Fahrlässigkeit oder unsachgemäße Verwendung, beeinflusstes Sicherheitsattribut: Integrität.
G 0.25 - Ursprung: Technisches Versagen, beeinflusstes Sicherheitsattribut: Verfügbarkeit.
G 0.27 - Ursprung: Mangelnde Ressourcen, beeinflusstes Sicherheitsattribut: Verfügbarkeit.
G 0.30 - Ursprung: Unberechtigte Nutzung oder Administration, beeinflusstes Sicherheitsattribut: Vertraulichkeit.
G 0.40 - Ursprung: Absichtliche Überlastung, beeinflusstes Sicherheitsattribut: Verfügbarkeit.
G 0.43 - Ursprung: Manipulation von Nachrichten, beeinflusstes Sicherheitsattribut: Integrität.
