NET.3.2.A1	Erstellung einer Sicherheitsrichtlinie	mitigates	G 0.18
NET.3.2.A2	Festlegen der Firewall-Regeln	mitigates	G 0.14
NET.3.2.A2	Festlegen der Firewall-Regeln	mitigates	G 0.19
NET.3.2.A2	Festlegen der Firewall-Regeln	mitigates	G 0.23
NET.3.2.A3	Einrichten geeigneter Filterregeln am Paketfilter	mitigates	G 0.23
NET.3.2.A3	Einrichten geeigneter Filterregeln am Paketfilter	mitigates	G 0.40
NET.3.2.A3	Einrichten geeigneter Filterregeln am Paketfilter	mitigates	G 0.43
NET.3.2.A4	Sichere Konfiguration der Firewall	mitigates	G 0.19
NET.3.2.A4	Sichere Konfiguration der Firewall	mitigates	G 0.22
NET.3.2.A4	Sichere Konfiguration der Firewall	mitigates	G 0.23
NET.3.2.A4	Sichere Konfiguration der Firewall	mitigates	G 0.30
NET.3.2.A4	Sichere Konfiguration der Firewall	mitigates	G 0.46
NET.3.2.A6	Schutz der Administrationsschnittstellen	mitigates	G 0.23
NET.3.2.A6	Schutz der Administrationsschnittstellen	mitigates	G 0.30
NET.3.2.A7	Notfallzugriff auf die Firewall	mitigates	G 0.27
NET.3.2.A8	Unterbindung von dynamischem Routing	mitigates	G 0.22
NET.3.2.A8	Unterbindung von dynamischem Routing	mitigates	G 0.23
NET.3.2.A8	Unterbindung von dynamischem Routing	mitigates	G 0.43
NET.3.2.A9	Protokollierung	mitigates	G 0.37
NET.3.2.A10	Abwehr von Fragmentierungsangriffen am Paketfilter	mitigates	G 0.41
NET.3.2.A10	Abwehr von Fragmentierungsangriffen am Paketfilter	mitigates	G 0.43
NET.3.2.A14	Betriebsdokumentationen	mitigates	G 0.18
NET.3.2.A15	Beschaffung einer Firewall	mitigates	G 0.18
NET.3.2.A15	Beschaffung einer Firewall	mitigates	G 0.20
NET.3.2.A16	Aufbau einer "P-A-P"-Struktur	mitigates	G 0.23
NET.3.2.A16	Aufbau einer "P-A-P"-Struktur	mitigates	G 0.40
NET.3.2.A17	Deaktivierung von IPv4 oder IPv6	mitigates	G 0.23
NET.3.2.A18	Administration über ein gesondertes Managementnetz	mitigates	G 0.9
NET.3.2.A18	Administration über ein gesondertes Managementnetz	mitigates	G 0.23
NET.3.2.A18	Administration über ein gesondertes Managementnetz	mitigates	G 0.30
NET.3.2.A19	Schutz vor TCP SYN Flooding	mitigates	G 0.40
NET.3.2.A19	Schutz vor TCP SYN Flooding	mitigates	G 0.41
NET.3.2.A20	Absicherung von grundlegenden Internetprotokollen	mitigates	G 0.23
NET.3.2.A21	Temporäre Entschlüsselung des Datenverkehrs	mitigates	G 0.18
NET.3.2.A21	Temporäre Entschlüsselung des Datenverkehrs	mitigates	G 0.23
NET.3.2.A21	Temporäre Entschlüsselung des Datenverkehrs	mitigates	G 0.29
NET.3.2.A21	Temporäre Entschlüsselung des Datenverkehrs	mitigates	G 0.39
NET.3.2.A22	Sichere Zeitsynchronisation	mitigates	G 0.22
NET.3.2.A22	Sichere Zeitsynchronisation	mitigates	G 0.43
NET.3.2.A22	Sichere Zeitsynchronisation	mitigates	G 0.46
NET.3.2.A23	Systemüberwachung und -Auswertung	mitigates	G 0.9
NET.3.2.A23	Systemüberwachung und -Auswertung	mitigates	G 0.18
NET.3.2.A23	Systemüberwachung und -Auswertung	mitigates	G 0.25
NET.3.2.A23	Systemüberwachung und -Auswertung	mitigates	G 0.27
NET.3.2.A24	Revision und Penetrationstests	mitigates	G 0.18
NET.3.2.A25	Erweiterter Integritätsschutz für die Konfigurationsdateien	mitigates	G 0.22
NET.3.2.A25	Erweiterter Integritätsschutz für die Konfigurationsdateien	mitigates	G 0.23
NET.3.2.A25	Erweiterter Integritätsschutz für die Konfigurationsdateien	mitigates	G 0.43
NET.3.2.A25	Erweiterter Integritätsschutz für die Konfigurationsdateien	mitigates	G 0.46
NET.3.2.A26	Auslagerung von funktionalen Erweiterungen auf dedizierte Hardware	mitigates	G 0.18
NET.3.2.A26	Auslagerung von funktionalen Erweiterungen auf dedizierte Hardware	mitigates	G 0.25
NET.3.2.A26	Auslagerung von funktionalen Erweiterungen auf dedizierte Hardware	mitigates	G 0.27
