NET.4.2.A1	Planung des VoIP-Einsatzes	mitigates	G 0.18
NET.4.2.A3	Sichere Administration und Konfiguration von VoIP-Endgeräten	mitigates	G 0.18
NET.4.2.A3	Sichere Administration und Konfiguration von VoIP-Endgeräten	mitigates	G 0.23
NET.4.2.A3	Sichere Administration und Konfiguration von VoIP-Endgeräten	mitigates	G 0.28
NET.4.2.A3	Sichere Administration und Konfiguration von VoIP-Endgeräten	mitigates	G 0.30
NET.4.2.A4	Einschränkung der Erreichbarkeit über VoIP	mitigates	G 0.18
NET.4.2.A4	Einschränkung der Erreichbarkeit über VoIP	mitigates	G 0.23
NET.4.2.A5	Sichere Konfiguration der VoIP-Middleware	mitigates	G 0.23
NET.4.2.A5	Sichere Konfiguration der VoIP-Middleware	mitigates	G 0.30
NET.4.2.A5	Sichere Konfiguration der VoIP-Middleware	mitigates	G 0.31
NET.4.2.A7	Erstellung einer Sicherheitsrichtlinie für VoIP	mitigates	G 0.18
NET.4.2.A7	Erstellung einer Sicherheitsrichtlinie für VoIP	mitigates	G 0.19
NET.4.2.A7	Erstellung einer Sicherheitsrichtlinie für VoIP	mitigates	G 0.31
NET.4.2.A8	Verschlüsselung von VoIP	mitigates	G 0.15
NET.4.2.A8	Verschlüsselung von VoIP	mitigates	G 0.19
NET.4.2.A9	Geeignete Auswahl von VoIP-Komponenten	mitigates	G 0.18
NET.4.2.A11	Sicherer Umgang mit VoIP-Endgeräten	mitigates	G 0.30
NET.4.2.A11	Sicherer Umgang mit VoIP-Endgeräten	mitigates	G 0.31
NET.4.2.A12	Sichere Außerbetriebnahme von VoIP-Komponenten	mitigates	G 0.18
NET.4.2.A12	Sichere Außerbetriebnahme von VoIP-Komponenten	mitigates	G 0.19
NET.4.2.A13	Anforderungen an eine Firewall für den Einsatz von VoIP	mitigates	G 0.18
NET.4.2.A13	Anforderungen an eine Firewall für den Einsatz von VoIP	mitigates	G 0.46
NET.4.2.A14	Verschlüsselung der Signalisierung	mitigates	G 0.15
NET.4.2.A14	Verschlüsselung der Signalisierung	mitigates	G 0.46
NET.4.2.A15	Sicherer Medientransport mit SRTP	mitigates	G 0.15
NET.4.2.A15	Sicherer Medientransport mit SRTP	mitigates	G 0.18
NET.4.2.A15	Sicherer Medientransport mit SRTP	mitigates	G 0.19
NET.4.2.A15	Sicherer Medientransport mit SRTP	mitigates	G 0.46
NET.4.2.A16	Trennung des Daten- und VoIP-Netzes	mitigates	G 0.18
NET.4.2.A16	Trennung des Daten- und VoIP-Netzes	mitigates	G 0.23
NET.4.2.A16	Trennung des Daten- und VoIP-Netzes	mitigates	G 0.30
