G 0.14 - Ursprung: Vorsätzliches Handeln, beeinflusstes Sicherheitsattribut: Vertraulichkeit.
G 0.15 - Ursprung: Vorsätzliches Handeln, beeinflusstes Sicherheitsattribut: Vertraulichkeit.
G 0.18 - Ursprung: Versehentliches Handeln, beeinflusstes Sicherheitsattribut: Integrität.
G 0.19 - Ursprung: Versehentliches Handeln, beeinflusstes Sicherheitsattribut: Vertraulichkeit.
G 0.21 - Ursprung: Vorsätzliches Handeln, beeinflusstes Sicherheitsattribut: Integrität.
G 0.22 - Ursprung: Vorsätzliches Handeln, beeinflusstes Sicherheitsattribut: Integrität.
G 0.23 - Ursprung: Vorsätzliches Handeln, beeinflusstes Sicherheitsattribut: Verfügbarkeit.
G 0.28 - Ursprung: Versehentliches Handeln, beeinflusstes Sicherheitsattribut: Verfügbarkeit.
G 0.29 - Ursprung: Versehentliches Handeln, beeinflusstes Sicherheitsattribut: Vertraulichkeit.
G 0.30 - Ursprung: Vorsätzliches Handeln, beeinflusstes Sicherheitsattribut: Verfügbarkeit.
G 0.36 - Ursprung: Vorsätzliches Handeln, beeinflusstes Sicherheitsattribut: Vertraulichkeit.
G 0.37 - Ursprung: Vorsätzliches Handeln, beeinflusstes Sicherheitsattribut: Vertraulichkeit.
G 0.39 - Ursprung: Vorsätzliches Handeln, beeinflusstes Sicherheitsattribut: Verfügbarkeit.
