G 0.9 - Ursprung: Versagen oder Störung von Kommunikationsnetzen; Beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.11 - Ursprung: Ausfall oder Störung von Dienstleistungsunternehmen; Beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.14 - Ursprung: Spionage; Beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.16 - Ursprung: Diebstahl von Geräten, Datenträgern oder Dokumenten; Beeinflusstes Sicherheitsattribut: Verfügbarkeit und Vertraulichkeit
G 0.19 - Ursprung: Offenlegung schützenswerter Informationen; Beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.21 - Ursprung: Manipulation von Hard- oder Software; Beeinflusstes Sicherheitsattribut: Integrität
G 0.22 - Ursprung: Manipulation von Informationen; Beeinflusstes Sicherheitsattribut: Integrität
G 0.23 - Ursprung: Unbefugtes Eindringen in IT-Systeme; Beeinflusstes Sicherheitsattribut: Vertraulichkeit
G 0.25 - Ursprung: Ausfall von Geräten oder Systemen; Beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.26 - Ursprung: Fehlfunktion von Geräten oder Systemen; Beeinflusstes Sicherheitsattribut: Verfügbarkeit und Integrität
G 0.27 - Ursprung: Ressourcenmangel; Beeinflusstes Sicherheitsattribut: Verfügbarkeit
G 0.28 - Ursprung: Software-Schwachstellen oder -Fehler; Beeinflusstes Sicherheitsattribut: Integrität
G 0.
